County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,log_price,SaleYear,SaleMonth,Region,YearMonth,SaleMonthIndex,Region_Encoded
Dublin,697500.0,0,0,0,13.455259226368389,2016,12,DUBLIN_OTHER,201612,12,12.705570117352767
Westmeath,82000.0,1,0,0,11.31448672129398,2016,1,Westmeath,201601,1,11.548741171685151
Kildare,430000.0,0,0,0,12.971542813248435,2016,10,Kildare,201610,10,12.288557581795198
Wexford,120000.0,0,0,0,11.695255355062796,2016,6,Wexford,201606,6,11.66416800178687
Laois,139500.0,1,0,0,11.845827048676645,2016,7,Laois,201607,7,11.602198135075064
Dublin,272643.17,0,1,1,12.515922817400488,2016,3,DUBLIN_OTHER,201603,3,12.705570117352767
Dublin,335000.0,0,0,0,12.721888795877376,2016,9,DUBLIN14,201609,9,13.078096057323352
Offaly,68000.0,0,0,0,11.127277689932466,2016,12,Offaly,201612,12,11.574728803059095
Cork,253000.0,0,0,0,12.441148720271016,2016,12,Cork,201612,12,12.000150643676768
Cork,50000.0,0,0,0,10.819798284210286,2016,11,Cork,201611,11,12.000150643676768
Cork,130000.0,0,0,0,11.775297421715829,2016,9,Cork,201609,9,12.000150643676768
Dublin,358000.0,0,0,0,12.788291058675023,2016,5,DUBLIN9,201605,5,12.652598664901094
Dublin,557000.0,0,0,0,13.230322314239944,2016,12,DUBLIN14,201612,12,13.078096057323352
Clare,215000.0,0,0,0,12.278397958261774,2016,10,Clare,201610,10,11.657350873570417
Offaly,41000.0,0,0,0,10.62135173563291,2016,6,Offaly,201606,6,11.574728803059095
Waterford,65000.0,0,0,0,11.082157933374816,2016,6,Waterford,201606,6,11.642599181212411
Donegal,49000.0,0,0,0,10.799595985047786,2016,8,Donegal,201608,8,11.375411297981437
Dublin,2275000.0,0,0,0,14.637491049927531,2016,9,DUBLIN_OTHER,201609,9,12.705570117352767
Westmeath,465000.0,0,0,0,13.049794835104816,2016,8,Westmeath,201608,8,11.548741171685151
Cork,198489.25,0,1,1,12.198495259515123,2016,4,Cork,201604,4,12.000150643676768
Dublin,625000.0,0,0,0,13.34550852871726,2016,9,DUBLIN13,201609,9,12.693510377709934
Mayo,64000.0,0,0,0,11.06665398721974,2016,10,Mayo,201610,10,11.290023168381925
Dublin,118000.0,0,0,0,11.678448377988165,2016,2,DUBLIN_OTHER,201602,2,12.705570117352767
Limerick,285000.0,0,0,0,12.560247968016562,2016,1,Limerick,201601,1,11.598075862329463
Dublin,268000.0,0,0,0,12.498745990829317,2016,9,DUBLIN_OTHER,201609,9,12.705570117352767
Dublin,416000.0,0,0,0,12.938442943086663,2016,8,DUBLIN16,201608,8,12.69024601766621
Cork,200000.0,0,0,0,12.206077645517674,2016,6,Cork,201606,6,12.000150643676768
Dublin,292000.0,0,0,0,12.584512505902088,2016,6,DUBLIN5,201606,6,12.520378122958158
Dublin,420000.0,0,0,0,12.948012371209098,2016,3,DUBLIN4,201603,3,13.159839350701308
Clare,299000.0,0,0,0,12.608202196848836,2016,4,Clare,201604,4,11.657350873570417
Dublin,345000.0,0,0,0,12.75130259456002,2016,6,DUBLIN_OTHER,201606,6,12.705570117352767
Kildare,80000.0,1,0,0,11.289794413577894,2016,8,Kildare,201608,8,12.288557581795198
Dublin,111008.0,0,0,0,11.617366558088658,2016,2,DUBLIN_OTHER,201602,2,12.705570117352767
Waterford,52000.0,0,0,0,10.859018228147889,2016,6,Waterford,201606,6,11.642599181212411
Galway,27750.0,0,0,0,10.231027154561334,2016,2,Galway,201602,2,11.821055771589778
Kildare,15000.0,0,0,0,9.61587214452889,2016,4,Kildare,201604,4,12.288557581795198
Tipperary,62000.0,0,0,0,11.034905792929417,2016,12,Tipperary,201612,12,11.563686685039686
Kildare,279295.15,0,1,1,12.540027967377108,2016,12,Kildare,201612,12,12.288557581795198
Kildare,235000.0,0,0,0,12.367345048436391,2016,4,Kildare,201604,4,12.288557581795198
Mayo,115000.0,0,1,1,11.652696102959752,2016,5,Mayo,201605,5,11.290023168381925
Galway,223000.0,0,0,0,12.314931534737134,2016,9,Galway,201609,9,11.821055771589778
Westmeath,132000.0,1,0,0,11.790564777297387,2016,10,Westmeath,201610,10,11.548741171685151
Donegal,124000.0,0,0,0,11.728044909070784,2016,3,Donegal,201603,3,11.375411297981437
Offaly,155000.0,0,0,0,11.951186847493476,2016,7,Offaly,201607,7,11.574728803059095
Meath,190000.0,1,0,0,12.154784614286667,2016,10,Meath,201610,10,12.181119578595398
Kildare,324375.0,0,1,1,12.689658615749176,2016,10,Kildare,201610,10,12.288557581795198
Cork,195000.0,1,0,0,12.180759965737863,2016,11,Cork,201611,11,12.000150643676768
Cork,380000.0,0,0,0,12.847929163278051,2016,1,Cork,201601,1,12.000150643676768
Cork,110000.0,0,0,0,11.60824473564232,2016,9,Cork,201609,9,12.000150643676768
Dublin,320000.0,0,0,0,12.676079399771028,2016,9,DUBLIN9,201609,9,12.652598664901094
Cork,320000.0,0,0,0,12.676079399771028,2016,11,Cork,201611,11,12.000150643676768
Dublin,209199.0,0,0,0,12.251046011172903,2016,2,DUBLIN_OTHER,201602,2,12.705570117352767
