Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
03/07/2017,"DROMULTON, CURROW, KILLARNEY",Kerry,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2017,"FARM RD, BRIERFIELD, MOYLOUGH",Galway,,"€269,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2017,"37 STONYFORD, TRIM RD, BALLIVAR",Meath,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2017,"APT 4, WEAVERS ROW, OFF MAIN ST",Kildare,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2017,"30 CORNAROYA MANOR, BALLINROBE, MAYO",Mayo,,"€144,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/01/2017,"APT 8, BRIGHTON HOUSE, BRIGHTON TERRACE",Dublin,,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2017,"53 SANDYFORD HALL VIEW, SANDYFORD, DUBLIN 18",Dublin,,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2017,"DINGINS, CORLISMORE, CO CAVAN",Cavan,,"€77,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2017,"54 Barley Field, Wicklow Hills, Newtownmountkennedy",Wicklow,,"€259,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/12/2017,"17 Willow House, Silverbanks, The Coast",Dublin,,"€154,185.02",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
13/06/2017,"APT 20 BRACKENWOOD DR, BALBRIGGAN, DUBLIN",Dublin,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2017,"8 DELGANY HILLS, DELGANY, CO WICKLOW",Wicklow,,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2017,"101 MOOREBAY HOLIDAY HOME, KILKEE, CLARE",Clare,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
