Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonthIndex,Region_Encoded
110000.0,0,0,0,2016,12,169894.25173144878
176211.45,0,1,1,2016,11,247009.80948717947
122850.0,0,0,0,2016,11,198460.38056851312
547500.0,0,0,0,2016,9,357260.4677191011
251000.0,0,0,0,2016,9,264083.47983050847
396475.0,0,1,1,2016,11,357260.4677191011
30000.0,0,0,0,2016,12,138927.53039408868
175770.0,0,1,1,2016,3,138927.53039408868
95000.0,0,0,0,2016,5,149517.2112804878
370000.0,0,0,0,2016,10,198460.38056851312
122500.0,0,0,0,2016,11,321252.275
75000.0,0,0,0,2016,5,198460.38056851312
92000.0,0,0,0,2016,11,139043.13263157895
200000.0,0,0,0,2016,11,121959.42273584906
85000.0,0,0,0,2016,3,139043.13263157895
360000.0,0,0,0,2016,1,198460.38056851312
200000.0,0,0,0,2016,8,357260.4677191011
184000.0,0,0,0,2016,4,126908.07854545455
640000.0,0,0,0,2016,11,357260.4677191011
260000.0,0,0,0,2016,12,357260.4677191011
265000.0,0,0,0,2016,7,149517.2112804878
212000.0,0,0,0,2016,11,121959.42273584906
352422.0,0,1,1,2016,11,302309.9607878788
103000.0,0,0,0,2016,12,101768.53846153847
675500.0,0,0,0,2016,9,367124.02974358975
321586.0,0,1,1,2016,9,376894.1872881356
377500.0,0,0,0,2016,5,239171.1843939394
590000.0,0,0,0,2016,1,357260.4677191011
248000.0,0,0,0,2016,6,140133.58445454546
185000.0,0,0,0,2016,2,289405.2858490566
359000.0,0,0,0,2016,11,169894.25173144878
140000.0,0,0,0,2016,8,198460.38056851312
95000.0,0,0,0,2016,11,169894.25173144878
275000.0,0,0,0,2016,6,138927.53039408868
262000.0,0,0,0,2016,9,376894.1872881356
36666.0,0,0,0,2016,6,147549.79817567568
110000.0,0,0,0,2016,9,247009.80948717947
80000.0,1,0,0,2016,12,124480.02530612245
306167.0,0,1,1,2016,7,376894.1872881356
260000.0,0,0,0,2016,9,357260.4677191011
178000.0,0,0,0,2016,2,169894.25173144878
23572.0,0,0,0,2016,2,250783.76666666666
110000.0,0,0,0,2016,5,250783.76666666666
185000.0,0,0,0,2016,11,350585.13441860466
588200.0,0,1,1,2016,12,289405.2858490566
130000.0,0,0,0,2016,10,139912.4143478261
295000.0,0,0,0,2016,5,129100.70456140352
151396.0,0,1,1,2016,7,139912.4143478261
225000.0,0,1,1,2016,11,198460.38056851312
201761.0,0,1,1,2016,7,147549.79817567568
195000.0,0,0,0,2016,11,169894.25173144878
500000.0,0,0,0,2016,8,357260.4677191011
355000.0,0,0,0,2016,8,140133.58445454546
130000.0,0,0,0,2016,1,149517.2112804878
224668.0,0,1,1,2016,12,302309.9607878788
155000.0,0,0,0,2016,7,250783.76666666666
440000.0,0,0,0,2016,8,459132.85714285716
258000.0,0,0,0,2016,10,302309.9607878788
157000.0,0,0,0,2016,9,495566.8431372549
147000.0,0,0,0,2016,12,206578.08441176472
50000.0,0,0,0,2016,1,198460.38056851312
130000.0,0,0,0,2016,8,169894.25173144878
100000.0,0,1,1,2016,9,169894.25173144878
436123.0,0,1,1,2016,9,302309.9607878788
